ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marthas-cakes-los-angeles, Martha's Cakes, False,3233085434,2,5, Los Angeles, CA,90044, Moderate, , , , No, , , , , , , , , , , , , , , [u'Cupcakes', u'cupcakes'], [u'Desserts', u'desserts'], [u'Bakeries', u'bakeries'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
menchies-frozen-yogurt-los-angeles-5, Menchie's Frozen Yogurt, False,3232779247,11,4.5, Los Angeles, CA,90001, Inexpensive, , , , Yes, , Garage, Yes, , , , , , , , Free, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jayloves-sweets-los-angeles, JayLove's Sweets, True,6264172968,7,5, Los Angeles, CA,90001, Moderate, , , , No, , , No, , , , , , , , , , , , [u'Desserts', u'desserts'], [u'Caterers', u'catering'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el-paraiso-no-2-los-angeles, El Paraiso No 2, False,3235872073,17,4.5, Los Angeles, CA,90001, Inexpensive, , , , No, , Street, Yes, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neveria-y-algo-mas-los-angeles, Neveria Y Algo Mas, False,3235848784,1,5, Los Angeles, CA,90001, Moderate, , , , No, , , Yes, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salaam-west-bakery-restaurant-los-angeles, Salaam West Bakery Restaurant, False,3237508000,2,4, Los Angeles, CA,90044, , , , Yes, , , , , , , Casual, , Quiet, No, , , , , , [u'Restaurants', u'restaurants'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avalon-ice-cream-and-candy-los-angeles, Avalon Ice Cream & Candy, False,3237576062,1,5, Los Angeles, CA,90003, Moderate, , , , Yes, , , , , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold-stone-creamery-walnut-park, Cold Stone Creamery, True,3235858796,22,3, Walnut Park, CA,90255, , , , , , , , , , , , , , , , , , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sammy-goodies-donuts-and-ice-cream-los-angeles, Sammy Goodie's Donuts & Ice Cream, False,3232310500,7,3.5, Los Angeles, CA,90011, Inexpensive, , , , No, , , No, , , , , , , No, No, , , , [u'Donuts', u'donuts'], [u'Coffee & Tea', u'coffee'], [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeans-ice-cream-los-angeles, Jean's Ice Cream, False,3237506855,14,4, Los Angeles, CA,90044, Inexpensive, , , , No, , Street, No, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-sweet-life-los-angeles, The Sweet Life, True,3234002626,14,4, Los Angeles, CA,90037, Inexpensive, , , , Yes, , , No, , , , , , , , , , , , [u'Desserts', u'desserts'], [u'Cupcakes', u'cupcakes'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascada-refrescante-los-angeles, Cascada Refrescante, True,3232334616,42,4.5, Los Angeles, CA,90011, Inexpensive, , , , Yes, , Private Lot, Yes, , , , , , , , No, , , , [u'Juice Bars & Smoothies', u'juicebars'], [u'Ice Cream & Frozen Yogurt', u'icecream'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shereeses-sweets-los-angeles, Shereese's Sweets, True,5624816085,1,5, Los Angeles, CA,90002, , , , , , , , , , , , , , , , , , , , [u'Desserts', u'desserts'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdears-bakery-and-bistro-los-angeles, M'Dear's Bakery & Bistro, True,3237592020,76,4, Los Angeles, CA,90047, $11-30, No, No, Yes, Yes, Brunch, Street, Yes, Yes, Yes, Casual, Casual, Average, No, No, No, No, Yes, Yes, [u'Soul Food', u'soulfood'], [u'Bakeries', u'bakeries'], [u'Desserts', u'desserts'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavenly-scoops-ice-cream-and-deli-los-angeles, Heavenly Scoops Ice Cream & Deli, False,3233051465,4,5, Los Angeles, CA,90047, Inexpensive, , , , No, , Street, Yes, , , , , , , , No, , , , [u'Ice Cream & Frozen Yogurt', u'icecream'], ID,Name,Claimed?,Phone,Count,Rating,City,State,Zip-code,Price,Reservations,Delivery,Take-out,Credit cards,Good for,Parking,Bike,Kids,Groups,Attire,Ambience,Noise,Alcohol,Outdoor,WiFi,TV,Waiter,Caters,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casa-noodle-teriyaki-los-angeles-2, Casa Noodle Teriyaki, False,3232328200,19,4.5, Los Angeles, CA,90003, , , , , , , , , , , , , , , , , , , , [u'Japanese', u'japanese'], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
